# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Feb 25 20:07:02 2019
#
# User preference: *
#
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN ra_str:         RA [sexagesimal]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec_str:        Dec [sexagesimal]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN pl_massj:       Planet Mass [Jupiter mass]
# COLUMN pl_massjerr1:   Planet Mass Upper Unc. [Jupiter mass]
# COLUMN pl_massjerr2:   Planet Mass Lower Unc. [Jupiter mass]
# COLUMN pl_massjlim:    Planet Mass Limit Flag
# COLUMN pl_masse:       Planet Mass [Earth mass]
# COLUMN pl_masseerr1:   Planet Mass Upper Unc. [Earth mass]
# COLUMN pl_masseerr2:   Planet Mass Lower Unc. [Earth mass]
# COLUMN pl_masselim:    Planet Mass Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth radii]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth radii]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth radii]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_disc:        Year of Discovery
#
pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,ra_str,ra,dec_str,dec,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_disc
326.03000000,0.32000000,-0.32000000,0,12h20m43.03s,185.179276,+17d47m34.3s,17.792868,,,,,,,,,,,,,2007
516.21997000,3.20000000,-3.20000000,0,15h17m05.89s,229.274536,+71d49m26.0s,71.823898,,,,,,,,,,,,0,2009
185.84000000,0.23000000,-0.23000000,0,23h31m17.42s,352.822571,+39d14m10.3s,39.236198,,,,,,,,,,,,,2008
1773.40002000,2.50000000,-2.50000000,0,16h10m24.31s,242.601303,+43d49m03.5s,43.817646,,,,,,,,,,,,0,2002
798.50000000,1.00000000,-1.00000000,0,19h41m51.97s,295.466553,+50d31m03.1s,50.517525,,,,,,,,,,,,0,1996
993.30000000,3.20000000,-3.20000000,0,20h58m25.94s,314.608063,+10d50m21.4s,10.839286,,,,,,,,,,,,,2008
,,,,16h09m30.30s,242.376268,-21d04m58.9s,-21.083036,8.00000,1.00000,-1.00000,0,3000.00000,300.00000,-300.00000,0,,,,,2008
30.35060000,0.00780000,-0.00770000,0,14h28m37.81s,217.157547,+49d50m41.5s,49.844852,,,,0,,,,0,,,,0,2018
452.80000000,2.10000000,-4.50000000,0,10h23m28.37s,155.868210,-00d54m08.1s,-0.902244,,,,,,,,,,,,,2010
883.00000000,32.40000000,-13.80000000,0,10h23m28.37s,155.868210,-00d54m08.1s,-0.902244,,,,,,,,,,,,,2010
,,,,01h22m50.94s,20.712243,-24d39m50.6s,-24.664049,24.50000,2.50000,-2.50000,0,7786.50000,794.50000,-794.50000,0,,,,,2013
,,,,02h19m22.11s,34.842106,-39d25m22.5s,-39.422928,13.90000,1.10000,-1.10000,0,4417.83700,349.61300,-349.61300,0,16.141,0.336,-0.336,0,2015
