# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sun Mar 10 21:44:44 2019
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN pl_discmethod:  Discovery Method
# COLUMN pl_pnum:        Number of Planets in System
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [AU])
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [AU]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [AU]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_radj:        Planet Radius [Jupiter radii]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter radii]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter radii]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN st_dist:        Distance [pc]
# COLUMN st_disterr1:    Distance Upper Unc. [pc]
# COLUMN st_disterr2:    Distance Lower Unc. [pc]
# COLUMN st_distlim:     Distance Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar radii]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar radii]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar radii]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN pl_disc:        Year of Discovery
#
pl_name,pl_discmethod,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,st_dist,st_disterr1,st_disterr2,st_distlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_rad,st_raderr1,st_raderr2,st_radlim,pl_disc
11 Com b,Radial Velocity,1,326.03000000,0.32000000,-0.32000000,0,1.290000,0.050000,-0.050000,0,0.231000,0.005000,-0.005000,0,,,,,93.37,1.92,-1.92,0,2.70,0.30,-0.30,0,19.00,2.00,-2.00,0,2007
11 UMi b,Radial Velocity,1,516.21997000,3.20000000,-3.20000000,0,1.530000,0.070000,-0.070000,0,0.080000,0.030000,-0.030000,0,,,,0,125.72,1.97,-1.97,0,2.78,0.69,-0.69,0,29.79,2.84,-2.84,0,2009
14 And b,Radial Velocity,1,185.84000000,0.23000000,-0.23000000,0,0.830000,,,0,0.000000,,,0,,,,,75.59,0.71,-0.71,0,2.20,0.10,-0.20,0,11.00,1.00,-1.00,0,2008
14 Her b,Radial Velocity,1,1773.40002000,2.50000000,-2.50000000,0,2.930000,0.080000,-0.080000,0,0.370000,0.000000,0.000000,0,,,,0,17.94,0.01,-0.01,0,0.90,0.04,-0.04,0,0.93,0.01,-0.01,0,2002
16 Cyg B b,Radial Velocity,1,798.50000000,1.00000000,-1.00000000,0,1.660000,0.030000,-0.030000,0,0.680000,0.020000,-0.020000,0,,,,0,21.41,0.23,-0.23,0,1.08,0.04,-0.04,0,1.13,0.01,-0.01,0,1996
18 Del b,Radial Velocity,1,993.30000000,3.20000000,-3.20000000,0,2.600000,,,0,0.080000,0.010000,-0.010000,0,,,,,76.38,0.62,-0.62,0,2.30,,,0,8.50,,,0,2008
1RXS J160929.1-210524 b,Imaging,1,,,,,330.000000,,,0,,,,,,,,,145.00,14.00,-14.00,0,0.85,0.20,-0.10,0,,,,,2008
24 Boo b,Radial Velocity,1,30.35060000,0.00780000,-0.00770000,0,0.190000,0.012000,-0.009000,0,0.042000,0.048000,-0.029000,0,,,,0,96.25,0.64,-0.64,0,0.99,0.19,-0.13,0,10.64,0.84,-0.59,0,2018
24 Sex b,Radial Velocity,2,452.80000000,2.10000000,-4.50000000,0,1.333000,0.004000,-0.009000,0,0.090000,0.140000,-0.060000,0,,,,,72.21,0.68,-0.68,0,1.54,0.08,-0.08,0,4.90,0.08,-0.08,0,2010
24 Sex c,Radial Velocity,2,883.00000000,32.40000000,-13.80000000,0,2.080000,0.050000,-0.020000,0,0.290000,0.160000,-0.090000,0,,,,,72.21,0.68,-0.68,0,1.54,0.08,-0.08,0,4.90,0.08,-0.08,0,2010
2MASS J01225093-2439505 b,Imaging,1,,,,,52.000000,6.000000,-6.000000,0,,,,,,,,,36.00,4.00,-4.00,0,0.40,0.05,-0.05,0,,,,,2013
2MASS J02192210-3925225 b,Imaging,1,,,,,156.000000,10.000000,-10.000000,0,,,,,1.440,0.030,-0.030,0,39.40,2.60,-2.60,0,0.11,0.01,-0.01,0,0.28,0.01,-0.01,0,2015
2MASS J04414489+2301513 b,Imaging,1,,,,,15.000000,,,0,,,,,,,,,140.00,,,0,0.02,,,0,,,,,2010
2MASS J12073346-3932539 b,Imaging,1,,,,,46.000000,5.000000,-5.000000,0,,,,,,,,,52.40,1.10,-1.10,0,0.02,,,0,,,,,2004
2MASS J19383260+4603591 b,Eclipse Timing Variations,1,416.00000000,2.00000000,-2.00000000,0,0.920000,0.020000,-0.020000,0,,,,,,,,,396.36,6.38,-6.20,0,0.48,0.03,-0.03,0,,,,,2015
2MASS J21402931+1625183 A b,Imaging,1,7336.50000000,1934.50000000,-584.00000000,0,,,,,0.260000,0.060000,-0.060000,0,0.920,0.390,-0.360,0,25.00,10.00,-10.00,0,0.08,0.06,-0.06,0,0.12,0.05,-0.04,0,2009
2MASS J22362452+4751425 b,Imaging,1,,,,,230.000000,20.000000,-20.000000,0,,,,,,,,,74.00,10.00,-10.00,0,0.60,0.05,-0.05,0,,,,,2016
30 Ari B b,Radial Velocity,1,335.10001000,2.50000000,-2.50000000,0,0.990000,0.020000,-0.020000,0,0.290000,0.090000,-0.090000,0,,,,0,44.71,0.10,-0.10,0,1.93,0.27,-0.27,0,1.41,0.05,-0.05,0,2009
